"Word","Valence_lang","Arousal_lang","Dominance_lang","Valence_fam","Arousal_fam","Dominance_fam","Valence_mean","Arousal_mean","Dominance_mean"
"horseman",5.87,3.681,5.589,5.80666666666667,3.49666666666667,5.54333333333333,5.855,3.57,5.565
"nanny",5.51142857142857,3.97571428571429,5.25285714285714,5.53333333333333,4,5.26666666666667,5.53333333333333,4,5.26666666666667
"nurse",5.80257759784076,4.30938596491228,5.51118083670715,5.72119047619048,4.26738095238095,5.46619047619048,5.73972222222222,4.29777777777778,5.49138888888889
"nursemaid",5.65923076923077,4.10384615384615,5.32,5.656,4.136,5.344,5.656,4.136,5.344
"big brother",6.18,4.48,5.46,6.18,4.48,5.46,6.18,4.48,5.46
"brother",5.86580612757408,4.44056085719069,5.2380143981249,5.69388888888889,4.50888888888889,5.21,5.7220833333333,4.45833333333331,5.18229166666664
"little brother",6.18,4.48,5.46,6.18,4.48,5.46,6.17999999999982,4.47999999999987,5.45999999999984
"insulation",4.265,3.09,5.525,4.265,3.09,5.525,4.265,3.09,5.525
"finish",4.89434782608696,4.35369565217391,5.50891304347826,5.031875,4.215,5.5509375,4.98727272727273,4.06090909090909,5.44590909090909
"modality",5.885,3.21,5.14,5.885,3.21,5.14,5.885,3.21,5.14
"part",4.92065,3.8232,5.2536,4.71284210526316,3.79042105263158,5.0818947368421,4.78119047619048,3.84928571428571,5.15595238095238
"batoidea",4.77,3.36,5.21,4.77,3.36,5.21,4.77,3.36,5.21
"parting",4.77,3.36,5.21,4.77,3.36,5.21,4.77,3.36,5.21
"decrease",4.53599562249157,3.50148615838827,4.78992108077552,4.57369408369408,3.54345806735637,4.88223689681317,4.55562559961625,3.61364366805245,5.0126499040614
"deduct",4.60279327018613,3.75122275948864,5.28100549778102,4.65090909090909,3.70423728813559,5.2402311248074,4.68528301886792,3.65758909853249,5.18075471698113
"abate",4.57110882956879,3.76357289527721,5.24094455852156,4.6,3.74423728813559,5.1193220338983,4.64075471698113,3.70283018867925,5.14867924528302
"quill",5.778625,3.258875,5.417875,5.7997058823529,3.24529411764704,5.42911764705879,5.80173913043478,3.28695652173913,5.43130434782608
"serious",3.88909090909091,4.14454545454545,4.24545454545455,3.92,4.153,4.34,4.005,4.17625,4.6
"sepulcher",4.14,4.295,4.7,4.14,4.295,4.7,4.14,4.295,4.7
"earnest",4.14,4.295,4.7,4.14,4.295,4.7,4.14,4.295,4.7
"carry on",5.61,2.9,6.17,5.61,2.9,6.17,5.61,2.9,6.17
"billards table",5.49,3,5.84,5.49,3,5.84,5.49,3,5.84
"brink",4.96,3.90333333333333,5.24666666666667,4.96,3.90333333333333,5.24666666666667,4.96,3.90333333333333,5.24666666666667
"besides",6.34329926178308,4.59429869392391,6.12488358886996,6.29610810810811,4.54345945945946,6.11097297297297,6.30604838709677,4.56326612903226,6.11762096774194
"advance",6.27995286950924,4.53465995010683,6.06388874605805,6.20868420450908,4.4716466593497,6.05040826359354,6.24054880603268,4.50360284876414,6.04961876832845
"moreover",6.34329926178308,4.59429869392391,6.12488358886996,6.29610810810811,4.54345945945946,6.11097297297297,6.30604838709677,4.56326612903226,6.11762096774194
"boost",6.34203009653606,4.5548417092561,6.09763060760931,6.26116216216216,4.48118918918919,6.08445945945946,6.30139784946237,4.53102150537634,6.09516129032258
"furthermore",6.34329926178308,4.59429869392391,6.12488358886996,6.29610810810811,4.54345945945946,6.11097297297297,6.30604838709677,4.56326612903226,6.11762096774194
"foster",6.34329926178308,4.59429869392391,6.12488358886996,6.29610810810811,4.54345945945946,6.11097297297297,6.30604838709677,4.56326612903226,6.11762096774194
"clash",4.92,5.36,5.24333333333333,4.92,5.36,5.24333333333333,4.92,5.36,5.24333333333333
"bump",4.64176470588235,4.41764705882353,5.44235294117647,4.52875,4.47375,5.3925,4.61142857142857,4.33,5.42714285714286
"collide",4.92,5.36,5.24333333333333,4.92,5.36,5.24333333333333,4.92,5.36,5.24333333333333
"success",6.97,5.61,7.86,6.97,5.61,7.86,6.97,5.61,7.86
"blackboard",5.346,3.26666666666667,5.88266666666667,5.31,3.33333333333333,5.89333333333333,5.31,3.33333333333333,5.89333333333333
"chalkboard",5.31,3.33333333333333,5.89333333333333,5.31,3.33333333333333,5.89333333333333,5.31,3.33333333333333,5.89333333333333
"bond",4.46666666666667,5.03555555555556,5.32111111111111,4.36,4.67333333333333,5.28666666666667,4.36,4.67333333333333,5.28666666666667
"inch",5.62,3.84,5.79,5.62,3.84,5.79,5.62,3.84,5.79
"ache",2.703125,4.8915625,3.67375,2.72,4.903,3.67,2.675,4.8725,3.68
"glove",5.6,2.33,5.91,5.6,2.33,5.91,5.6,2.33,5.91
"denote",6.5,6.35,7.32,6.5,6.35,7.32,6.5,6.35,7.32
"dread",3.085,4.7675,3.99,2.974,5.048,3.984,2.9,5.235,3.98
"distress",3.085,4.7675,3.99,2.974,5.048,3.984,2.9,5.235,3.98
"prominent",5.40117216117216,4.26930402930403,5.33648351648352,5.32875,4.22333333333333,5.35375,5.32875,4.22333333333333,5.35375
"outstanding",5.34115079365079,4.11126984126984,5.10654761904762,5.36010416666667,4.10041666666667,5.1171875,5.36010416666667,4.10041666666667,5.1171875
"conspicuous",5.5796336996337,4.29699633699634,5.58417582417582,5.52208333333333,4.25333333333333,5.62208333333333,5.52208333333333,4.25333333333333,5.62208333333333
