FamilyWeight;LanguageWeight;from_word;to_word
1;2;levy;royalty
2;5;levy;tax
1;8;library;toolkit
1;2;life cycle;lifecycle
2;2;lamp;light source
1;2;bright;light
1;2;candle;light
1;4;illumination;lighting
1;3;file;lime
1;3;chalice;lime
1;2;calciferous;limestone
1;2;fat;lipid
1;2;coastal;littoral
3;10;lizard;scaled reptile
2;4;loss;wastage
1;2;luminance;luminosity
1;4;deformity;malformation
1;4;disfigurement;malformation
5;13;human;someone
5;13;human being;someone
5;13;human;somebody
5;13;human being;somebody
5;13;human;person
5;13;human being;person
5;13;human;individual
5;13;human being;individual
3;11;human;male
3;11;human being;male
3;4;human;humanity
3;4;human being;humanity
3;4;human;mankind
3;4;human being;mankind
3;4;human;humankind
3;4;human being;humankind
2;3;manpower;work force
2;3;manpower;personnel
1;3;dung;manure
1;2;crisp;short
1;2;curt;short
1;2;short;terse
1;2;laconic;short
1;2;charter;map
1;2;map;menu
1;2;marina;navy
2;3;marine engineering;shipbuilding
1;9;admiralty law;maritime law
1;2;marker;tracer
2;6;market research;market study
2;5;course;dish
1;8;measurement;measuring
1;2;measuring;mete
1;2;gauge;measuring
2;11;medical science;medicine
2;11;drug;medical science
2;11;medical science;medication
2;11;medical science;medicament
2;11;medicament;medicine
2;11;medical science;medicinal drug
2;11;medicinal drug;medicine
2;7;meteorological forecasting;weather forecasting
1;6;meteorological forecasting;weather forecast
1;6;meteorological forecasting;weather report
1;6;meteorological forecasting;weathercast
1;6;weather forecast;weathercast
1;2;metropolis;metropolitan area
1;6;flux;mix
1;6;commingle;mix
1;6;conflate;mix
1;6;immix;mix
1;6;coalesce;mix
1;6;meld;mix
1;6;amalgamate;mix
1;4;model;pattern
1;2;model;reference person
2;4;landmark;monument
1;3;her;his
1;2;mountain;pot
1;2;batch;mountain
1;2;good deal;mountain
1;2;great deal;mountain
1;2;hatful;mountain
2;3;hill;mountain
2;3;loma;mountain
2;3;colina;mountain
1;4;mud;mush
2;5;mussel farming;shellfish farming
2;2;mutagen;mutagenic substance
1;2;manure;natural fertiliser
2;7;natural science;physical science
1;3;nature reserve;wildlife sanctuary
1;2;desideratum;need
1;2;counteraction;neutralisation
1;2;counteraction;neutralization
1;2;neutralisation;neutralization
1;3;noise;row
1;3;din;noise
1;2;noise;noise pollutant
1;2;noise pollutant;racket
2;2;noise pollutant;noise pollution
5;12;nomenclature;terminology
2;3;nomenclature;nomenklatura
2;3;nomenklatura;terminology
1;2;fission;nuclear fission
1;2;nuisance;trouble
1;2;discomfort;nuisance
1;2;pain;trouble
1;2;discomfort;pain
1;2;pain in the neck;trouble
1;2;discomfort;pain in the neck
1;2;annoyance;trouble
1;2;annoyance;discomfort
1;2;botheration;trouble
1;2;botheration;discomfort
1;2;infliction;trouble
1;2;discomfort;infliction
1;2;pain in the ass;trouble
1;2;discomfort;pain in the ass
2;7;hindrance;obstacle
2;7;hindrance;obstruction
1;2;nutrient;nutrient medium
1;2;culture medium;nutrient
1;2;growth medium;nutrient
1;2;nutrient medium;nutrition
1;2;culture medium;nutrition
1;2;growth medium;nutrition
1;2;nutrient medium;nutriment
1;2;culture medium;nutriment
1;2;growth medium;nutriment
1;2;nourishment;nutrient medium
1;2;culture medium;nourishment
1;2;growth medium;nourishment
1;2;nutrient medium;sustenance
1;2;culture medium;sustenance
1;2;growth medium;sustenance
1;4;oak;oak tree
1;4;oak;oak wood
1;4;oak tree;oak wood
1;2;ocean circulation;sea circulation
2;4;desk;office
2;2;office;study
2;2;office;study room
1;2;confinement barrier;oil boom
1;2;containment barrier;oil boom
2;6;oil tanker;tanker
2;8;open-pit mining;opencast mining
2;8;opencast mining;strip mining
2;8;open-pit mining;strip mining
2;8;opencast mining;openpit mining
2;8;open-pit mining;openpit mining
1;4;opinion;thought
1;4;stance;thought
2;4;belief;stance
2;4;stance;supposition
2;4;presumption;stance
1;2;persuasion;stance
2;6;organic matter;organic substance
1;2;overburden;overload
2;5;overcrowding;overpopulation
1;2;hibernation;overwintering
1;2;overwintering;winter sleep
1;3;asset;distinctive feature
1;2;asset;characteristic
2;2;packaging;shell
2;2;shell;wrapping
1;2;map;paper
2;5;involvement;participation
1;2;germ;pathogen
1;2;germ;infectious agent
1;4;penalty;sentence
1;2;kara;lemusmus
1;2;kara;lemakot
1;2;penal sanction;sanction
1;3;match;phosphorus
1;3;friction match;phosphorus
2;14;photo;photography
2;3;photograph;still
2;3;photo;still
1;2;physics;tangible
1;2;physics;touchable
1;2;corporeal;physics
1;2;bodily;physics
1;2;plain;plane
1;4;architectural plan;programme
1;4;architectural plan;program
