WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
8;4;8;go;enter;0,51;0,441;0,444;0,708;0,47;0,5
8;3;7;go;fly (move through air);0,51;0,441;0,444;0,76;0,775;0,676
42;14;40;go;drive;0,51;0,441;0,444;0,625;0,689;0,713
3;3;3;go;say;0,51;0,441;0,444;0,571;0,31;0,482
3;3;3;go;bone;0,51;0,441;0,444;0,337;0,37;0,413
4;3;4;go;lead (guide);0,51;0,441;0,444;0,323;0,657;0,455
10;8;9;go;move (oneself);0,51;0,441;0,444;0,656;0,647;0,67
8;3;8;go;step (verb);0,51;0,441;0,444;0,531;0,321;0,347
8;3;8;go;pass;0,51;0,441;0,444;0,51;0,324;0,362
17;9;17;climb;ride;0,615;0,66;0,604;0,806;0,465;0,472
8;4;8;climb;crawl or creep;0,615;0,66;0,604;0,4165;0,583;0,414
6;4;6;climb;creep;0,615;0,66;0,604;0,354;0,647;0,361
95;20;84;come;arrive;0,529;0,269;0,558;0,837;0,406;0,585
5;3;5;come;dog;0,529;0,269;0,558;0,704;0,5;0,407
8;5;8;come;enter;0,529;0,269;0,558;0,708;0,47;0,5
3;3;3;come;see;0,529;0,269;0,558;0,635;0,269;0,312
6;4;5;come;say;0,529;0,269;0,558;0,571;0,31;0,482
6;3;6;come;give;0,529;0,269;0,558;0,75;0,346;0,5
7;3;7;come;bring;0,529;0,269;0,558;0,635;0,46;0,462
8;6;6;come;approach;0,529;0,269;0,558;0,612;0,392;0,61
12;4;12;come;get;0,529;0,269;0,558;0,74;0,594;0,667
5;3;5;come;shoot;0,529;0,269;0,558;0,092;0,926;0,625
5;4;5;come;become;0,529;0,269;0,558;0,641;0,583;0,643
6;4;6;leave;flee;0,375;0,315;0,295;0,292;0,796;0,232
7;5;6;leave;retreat;0,375;0,315;0,295;0,5;0,519;0,312
7;4;7;leave;disappear;0,375;0,315;0,295;0,143;0,441;0,35
4;3;4;leave;seize;0,375;0,315;0,295;0,656;0,644;0,673
5;4;5;leave;divide;0,375;0,315;0,295;0,333;0,52;0,417
6;4;6;leave;divorce;0,375;0,315;0,295;0,042;0,7;0,385
6;4;6;leave;separate;0,375;0,315;0,295;0,24;0,514;0,349
3;3;3;leave;inside;0,375;0,315;0,295;0,612;0,404;0,472
12;4;12;leave;drive;0,375;0,315;0,295;0,625;0,689;0,713
5;3;5;leave;pass;0,375;0,315;0,295;0,51;0,324;0,362
58;16;52;disappear;misplace;0,143;0,441;0,35;0,229;0,461;0,191
6;4;6;disappear;cease;0,143;0,441;0,35;0,388;0,25;0,42
3;3;3;disappear;be dead or die;0,143;0,441;0,35;0,031;0,765;0,259
3;3;3;disappear;hide (conceal);0,143;0,441;0,35;0,438;0,51;0,218
4;4;4;disappear;flee;0,143;0,441;0,35;0,292;0,796;0,232
3;3;3;disappear;set (heavenly bodies);0,143;0,441;0,35;0,521;0,482;0,63
48;13;44;flee;escape;0,292;0,796;0,232;0,367;0,765;0,448
38;24;34;flee;retreat;0,292;0,796;0,232;0,5;0,519;0,312
4;4;4;flee;hide (conceal);0,292;0,796;0,232;0,438;0,51;0,218
52;23;49;follow;pursue;0,667;0,509;0,6;0,417;0,783;0,536
7;6;7;follow;obey;0,667;0,509;0,6;0,677;0,433;0,533
4;4;4;follow;arrive;0,667;0,509;0,6;0,837;0,406;0,585
7;4;7;follow;imitate;0,667;0,509;0,6;0,469;0,561;0,336
15;7;14;follow;hunt;0,667;0,509;0,6;0,327;0,806;0,588
15;10;14;arrive;approach;0,837;0,406;0,585;0,612;0,392;0,61
20;6;19;arrive;get;0,837;0,406;0,585;0,74;0,594;0,667
5;5;5;arrive;land (descend);0,837;0,406;0,585;0,582;0,26;0,616
4;4;4;arrive;find;0,837;0,406;0,585;0,774;0,555;0,58
4;4;4;arrive;meet;0,837;0,406;0,585;0,76;0,51;0,58
4;4;4;arrive;understand;0,837;0,406;0,585;0,76;0,374;0,643
7;4;7;arrive;ripen;0,837;0,406;0,585;0,755;0,373;0,671
5;4;5;arrive;become;0,837;0,406;0,585;0,641;0,583;0,643
3;3;3;enter;embrace;0,708;0,47;0,5;0,949;0,49;0,452
3;3;3;enter;dive;0,708;0,47;0,5;0,583;0,531;0,5
3;3;3;enter;put;0,708;0,47;0,5;0,52;0,398;0,51
3;3;3;enter;father;0,708;0,47;0,5;0,812;0,333;0,824
3;3;3;enter;crawl or creep;0,708;0,47;0,5;0,4165;0,583;0,414
14;9;13;enter;set (heavenly bodies);0,708;0,47;0,5;0,521;0,482;0,63
18;5;18;carry;get;0,635;0,38;0,5;0,74;0,594;0,667
6;4;6;carry;give;0,635;0,38;0,5;0,75;0,346;0,5
57;15;56;carry;bring;0,635;0,38;0,5;0,635;0,46;0,462
34;7;34;carry;lead (guide);0,635;0,38;0,5;0,323;0,657;0,455
7;3;7;carry;send;0,635;0,38;0,5;0,663;0,48;0,537
7;6;7;carry;drive;0,635;0,38;0,5;0,625;0,689;0,713
13;7;13;carry;hold;0,635;0,38;0,5;0,448;0,29;0,364
